area,num,rate
서울,20997,0.18 
부산,4320,0.04 
대구,12468,0.11 
인천,4204,0.04 
광주,3046,0.03 
대전,3338,0.03 
울산,2142,0.02 
세종,1076,0.01 
경기,17197,0.15 
강원,3091,0.03 
충북,3319,0.03 
충남,4252,0.04 
전북,2906,0.02 
전남,4576,0.04 
경북,5400,0.05 
경남,5003,0.04 
제주,20699,0.18 
